id ra dec ra1 dec1 ra2 dec2 ra3 dec3 ra4 dec4
T00074 321.42857142857144 -79.71428571428571 328.05854070098434 -78.29528079466864 329.99953502750276 -80.95781243598245 312.85760782964024 -80.95781243598246 314.7986021561586 -78.29528079466864
T00075 334.2857142857143 -79.71428571428571 340.9156835581272 -78.29528079466864 342.8566778846456 -80.95781243598245 325.71475068678313 -80.95781243598246 327.65574501330144 -78.29528079466864
T00076 347.14285714285717 -79.71428571428571 353.7728264152701 -78.29528079466864 355.7138207417885 -80.95781243598246 338.571893543926 -80.95781243598246 340.5128878704444 -78.29528079466864
T00077 0.0 -77.14285714285714 5.455671299795474 -75.73800138505088 6.694300480996051 -78.40881732840315 353.3056995190041 -78.40881732840315 354.54432870020463 -75.73800138505088
T00078 10.588235294117647 -77.14285714285714 16.043906593913125 -75.73800138505088 17.282535775113704 -78.40881732840315 3.893934813121731 -78.40881732840315 5.132563994322284 -75.73800138505088
T00079 21.176470588235293 -77.14285714285714 26.632141888030763 -75.73800138505088 27.87077106923134 -78.40881732840315 14.482170107239375 -78.40881732840315 15.720799288439927 -75.73800138505088
T00080 31.764705882352942 -77.14285714285714 37.22037718214841 -75.73800138505088 38.45900636334898 -78.40881732840315 25.07040540135702 -78.40881732840315 26.309034582557572 -75.73800138505088
T00081 42.35294117647059 -77.14285714285714 47.808612476266056 -75.73800138505088 49.04724165746664 -78.40881732840315 35.658640695474666 -78.40881732840315 36.897269876675225 -75.73800138505088
T00082 52.94117647058824 -77.14285714285714 58.39684777038371 -75.73800138505088 59.63547695158428 -78.40881732840315 46.24687598959231 -78.40881732840315 47.48550517079286 -75.73800138505088
T00083 63.529411764705884 -77.14285714285714 68.98508306450137 -75.73800138505088 70.22371224570193 -78.40881732840315 56.83511128370996 -78.40881732840315 58.073740464910514 -75.73800138505088
T00084 74.11764705882354 -77.14285714285714 79.573318358619 -75.73800138505088 80.8119475398196 -78.40881732840315 67.42334657782762 -78.40881732840315 68.66197575902817 -75.73800138505088
T00085 84.70588235294117 -77.14285714285714 90.16155365273664 -75.73800138505088 91.40018283393724 -78.40881732840315 78.01158187194527 -78.40881732840315 79.2502110531458 -75.73800138505088
T00086 95.29411764705883 -77.14285714285714 100.74978894685431 -75.73800138505088 101.98841812805487 -78.40881732840315 88.59981716606292 -78.40881732840315 89.83844634726347 -75.73800138505088
T00087 105.88235294117648 -77.14285714285714 111.33802424097195 -75.73800138505088 112.57665342217253 -78.40881732840315 99.18805246018056 -78.40881732840315 100.42668164138111 -75.73800138505088
T00088 116.47058823529412 -77.14285714285714 121.92625953508959 -75.73800138505088 123.16488871629016 -78.40881732840315 109.7762877542982 -78.40881732840315 111.01491693549875 -75.73800138505088
T00089 127.05882352941177 -77.14285714285714 132.51449482920722 -75.73800138505088 133.75312401040784 -78.40881732840315 120.36452304841585 -78.40881732840315 121.6031522296164 -75.73800138505088
T00090 137.6470588235294 -77.14285714285714 143.10273012332487 -75.73800138505088 144.34135930452544 -78.40881732840315 130.95275834253349 -78.40881732840315 132.19138752373402 -75.73800138505088
T00091 148.23529411764707 -77.14285714285714 153.69096541744253 -75.73800138505088 154.92959459864312 -78.40881732840315 141.54099363665117 -78.40881732840315 142.7796228178517 -75.73800138505088
T00092 158.82352941176472 -77.14285714285714 164.2792007115602 -75.73800138505088 165.51782989276077 -78.40881732840315 152.12922893076882 -78.40881732840315 153.36785811196938 -75.73800138505088
T00093 169.41176470588235 -77.14285714285714 174.86743600567783 -75.73800138505088 176.1060651868784 -78.40881732840315 162.71746422488644 -78.40881732840315 163.95609340608698 -75.73800138505088
T00094 180.0 -77.14285714285714 185.45567129979545 -75.73800138505088 186.69430048099605 -78.40881732840315 173.3056995190041 -78.40881732840315 174.54432870020463 -75.73800138505088
T00095 190.58823529411765 -77.14285714285714 196.04390659391314 -75.73800138505088 197.2825357751137 -78.40881732840315 183.89393481312172 -78.40881732840315 185.1325639943223 -75.73800138505088
T00096 201.1764705882353 -77.14285714285714 206.6321418880308 -75.73800138505088 207.87077106923135 -78.40881732840315 194.4821701072394 -78.40881732840315 195.72079928843993 -75.73800138505088
T00097 211.76470588235296 -77.14285714285714 217.2203771821484 -75.73800138505088 218.459006363349 -78.40881732840315 205.07040540135702 -78.40881732840315 206.3090345825576 -75.73800138505088
T00098 222.3529411764706 -77.14285714285714 227.8086124762661 -75.73800138505088 229.04724165746666 -78.40881732840315 215.65864069547467 -78.40881732840315 216.89726987667524 -75.73800138505088
T00099 232.94117647058823 -77.14285714285714 238.3968477703837 -75.73800138505088 239.63547695158428 -78.40881732840315 226.2468759895923 -78.40881732840315 227.48550517079283 -75.73800138505088
T00100 243.5294117647059 -77.14285714285714 248.9850830645014 -75.73800138505088 250.22371224570196 -78.40881732840315 236.83511128371 -78.40881732840315 238.07374046491051 -75.73800138505088
T00101 254.11764705882354 -77.14285714285714 259.57331835861896 -75.73800138505088 260.8119475398196 -78.40881732840315 247.42334657782757 -78.40881732840315 248.66197575902814 -75.73800138505088
T00102 264.7058823529412 -77.14285714285714 270.1615536527367 -75.73800138505088 271.40018283393727 -78.40881732840315 258.0115818719453 -78.40881732840315 259.25021105314585 -75.73800138505088
T00103 275.2941176470588 -77.14285714285714 280.74978894685427 -75.73800138505088 281.98841812805483 -78.40881732840315 268.59981716606285 -78.40881732840315 269.8384463472634 -75.73800138505088
T00104 285.88235294117646 -77.14285714285714 291.33802424097195 -75.73800138505088 292.5766534221725 -78.40881732840315 279.18805246018053 -78.40881732840315 280.4266816413811 -75.73800138505088
T00105 296.47058823529414 -77.14285714285714 301.92625953508957 -75.73800138505088 303.1648887162902 -78.40881732840315 289.7762877542982 -78.40881732840315 291.0149169354988 -75.73800138505088
T00106 307.05882352941177 -77.14285714285714 312.5144948292072 -75.73800138505088 313.7531240104078 -78.40881732840315 300.36452304841583 -78.40881732840315 301.60315222961634 -75.73800138505088
T00107 317.64705882352945 -77.14285714285714 323.10273012332493 -75.73800138505088 324.3413593045255 -78.40881732840315 310.9527583425335 -78.40881732840315 312.1913875237341 -75.73800138505088
T00108 328.2352941176471 -77.14285714285714 333.69096541744256 -75.73800138505088 334.9295945986431 -78.40881732840315 321.54099363665114 -78.40881732840315 322.7796228178517 -75.73800138505088
T00109 338.8235294117647 -77.14285714285714 344.2792007115602 -75.73800138505088 345.51782989276074 -78.40881732840315 332.12922893076876 -78.40881732840315 333.3678581119693 -75.73800138505088
T00110 349.4117647058824 -77.14285714285714 354.8674360056778 -75.73800138505088 356.1060651868784 -78.40881732840315 342.71746422488644 -78.40881732840315 343.956093406087 -75.73800138505088
T00111 0.0 -74.57142857142857 4.641890521734724 -73.17648171315146 5.498773984363363 -75.85178786522627 354.50122601563675 -75.85178786522627 355.35810947826536 -73.17648171315146
T00112 9.0 -74.57142857142857 13.641890521734727 -73.17648171315146 14.498773984363364 -75.85178786522627 3.5012260156367487 -75.85178786522627 4.35810947826537 -73.17648171315146
T00113 18.0 -74.57142857142857 22.641890521734723 -73.17648171315146 23.49877398436336 -75.85178786522627 12.501226015636748 -75.85178786522627 13.358109478265371 -73.17648171315146
T00114 27.0 -74.57142857142857 31.64189052173472 -73.17648171315146 32.49877398436336 -75.85178786522627 21.501226015636746 -75.85178786522627 22.358109478265366 -73.17648171315146
T00115 36.0 -74.57142857142857 40.64189052173472 -73.17648171315146 41.49877398436336 -75.85178786522627 30.50122601563675 -75.85178786522627 31.358109478265376 -73.17648171315146
T00116 45.0 -74.57142857142857 49.641890521734716 -73.17648171315146 50.49877398436336 -75.85178786522627 39.501226015636746 -75.85178786522627 40.35810947826537 -73.17648171315146
T00117 54.0 -74.57142857142857 58.641890521734716 -73.17648171315146 59.49877398436336 -75.85178786522627 48.50122601563674 -75.85178786522627 49.35810947826536 -73.17648171315146
T00118 63.0 -74.57142857142857 67.64189052173472 -73.17648171315146 68.49877398436337 -75.85178786522627 57.50122601563675 -75.85178786522627 58.358109478265376 -73.17648171315146
T00119 72.0 -74.57142857142857 76.64189052173472 -73.17648171315146 77.49877398436337 -75.85178786522627 66.50122601563675 -75.85178786522627 67.35810947826538 -73.17648171315146
T00120 81.0 -74.57142857142857 85.64189052173472 -73.17648171315146 86.49877398436337 -75.85178786522627 75.50122601563675 -75.85178786522627 76.35810947826536 -73.17648171315146
T00121 90.0 -74.57142857142857 94.64189052173472 -73.17648171315146 95.49877398436337 -75.85178786522627 84.50122601563675 -75.85178786522627 85.35810947826538 -73.17648171315146
T00122 99.0 -74.57142857142857 103.64189052173472 -73.17648171315146 104.49877398436337 -75.85178786522627 93.50122601563675 -75.85178786522627 94.35810947826538 -73.17648171315146
T00123 108.0 -74.57142857142857 112.64189052173472 -73.17648171315146 113.49877398436337 -75.85178786522627 102.50122601563675 -75.85178786522627 103.35810947826536 -73.17648171315146
T00124 117.0 -74.57142857142857 121.64189052173471 -73.17648171315146 122.49877398436338 -75.85178786522627 111.50122601563675 -75.85178786522627 112.35810947826538 -73.17648171315146
T00125 126.0 -74.57142857142857 130.64189052173475 -73.17648171315146 131.49877398436334 -75.85178786522627 120.50122601563675 -75.85178786522627 121.35810947826536 -73.17648171315146
T00126 135.0 -74.57142857142857 139.64189052173472 -73.17648171315146 140.49877398436334 -75.85178786522627 129.50122601563675 -75.85178786522627 130.35810947826536 -73.17648171315146
T00127 144.0 -74.57142857142857 148.64189052173472 -73.17648171315146 149.49877398436334 -75.85178786522627 138.50122601563675 -75.85178786522627 139.35810947826536 -73.17648171315146
T00128 153.0 -74.57142857142857 157.64189052173472 -73.17648171315146 158.49877398436334 -75.85178786522627 147.50122601563675 -75.85178786522627 148.35810947826536 -73.17648171315146
T00129 162.0 -74.57142857142857 166.64189052173475 -73.17648171315146 167.49877398436337 -75.85178786522627 156.50122601563675 -75.85178786522627 157.35810947826536 -73.17648171315146
